Algorithm 1,Algorithm 2,Alpha,K-Value,A2A Score,CVG (1 -> 2),CVG (2 -> 1)
ARC,WCA,0.8,8,83.69565217391303,0.0,0.0
ARC,Limbo,0.8,8,85.71428571428572,0.0,0.0
ARC,ACDC,0.8,8,86.09375,0.125,0.25
WCA,Limbo,N/A,9,86.9969040247678,0.0,0.0
WCA,ACDC,N/A,9,91.10764430577223,0.1111111111111111,0.25
Limbo,ACDC,N/A,9,85.02340093603745,0.0,0.0
ARC,WCA,0.2,9,83.12693498452013,0.0,0.0
ARC,Limbo,0.2,9,84.36532507739938,0.1111111111111111,0.1111111111111111
ARC,ACDC,0.2,9,86.1154446177847,0.1111111111111111,0.25
ARC,WCA,0.4,9,84.21052631578947,0.0,0.0
ARC,Limbo,0.4,9,86.37770897832817,0.0,0.0
ARC,ACDC,0.4,9,86.27145085803431,0.1111111111111111,0.25
ARC,WCA,0.6,9,83.90092879256966,0.0,0.0
ARC,Limbo,0.6,9,85.75851393188854,0.0,0.0
ARC,ACDC,0.6,9,85.95943837753511,0.1111111111111111,0.25
ARC,WCA,0.8,9,83.90092879256966,0.0,0.0
ARC,Limbo,0.8,9,85.75851393188854,0.0,0.0
ARC,ACDC,0.8,9,85.95943837753511,0.1111111111111111,0.25
WCA,Limbo,N/A,10,82.56172839506173,0.0,0.0
WCA,ACDC,N/A,10,90.80996884735202,0.1,0.25
Limbo,ACDC,N/A,10,81.77570093457945,0.0,0.0
ARC,WCA,0.2,10,83.17901234567901,0.0,0.0
ARC,Limbo,0.2,10,85.3395061728395,0.1,0.1
ARC,ACDC,0.2,10,85.98130841121495,0.1,0.25
ARC,WCA,0.4,10,84.10493827160494,0.0,0.0
ARC,Limbo,0.4,10,85.95679012345678,0.0,0.0
ARC,ACDC,0.4,10,86.13707165109035,0.1,0.25
ARC,WCA,0.6,10,83.9506172839506,0.0,0.0
ARC,Limbo,0.6,10,85.64814814814815,0.0,0.0
ARC,ACDC,0.6,10,85.82554517133957,0.1,0.25
ARC,WCA,0.8,10,83.9506172839506,0.0,0.0
ARC,Limbo,0.8,10,85.64814814814815,0.0,0.0
ARC,ACDC,0.8,10,85.82554517133957,0.1,0.25
WCA,Limbo,N/A,11,82.61538461538461,0.0,0.0
WCA,ACDC,N/A,11,90.51321928460342,0.09090909090909091,0.25
Limbo,ACDC,N/A,11,81.64852255054433,0.0,0.0
ARC,WCA,0.2,11,83.23076923076923,0.0,0.0
ARC,Limbo,0.2,11,85.38461538461539,0.09090909090909091,0.09090909090909091
ARC,ACDC,0.2,11,85.8475894245723,0.09090909090909091,0.25
ARC,WCA,0.4,11,84.15384615384616,0.0,0.0
ARC,Limbo,0.4,11,86.0,0.0,0.0
ARC,ACDC,0.4,11,86.00311041990669,0.09090909090909091,0.25
ARC,WCA,0.6,11,84.0,0.0,0.0
ARC,Limbo,0.6,11,85.6923076923077,0.0,0.0
ARC,ACDC,0.6,11,85.69206842923795,0.09090909090909091,0.25
ARC,WCA,0.8,11,84.0,0.0,0.0
ARC,Limbo,0.8,11,85.6923076923077,0.0,0.0
ARC,ACDC,0.8,11,85.69206842923795,0.09090909090909091,0.25
WCA,Limbo,N/A,12,82.66871165644172,0.0,0.0
WCA,ACDC,N/A,12,90.37267080745342,0.08333333333333333,0.25
Limbo,ACDC,N/A,12,81.5217391304348,0.0,0.0
ARC,WCA,0.2,12,83.28220858895705,0.0,0.0
ARC,Limbo,0.2,12,85.2760736196319,0.08333333333333333,0.08333333333333333
ARC,ACDC,0.2,12,85.71428571428572,0.08333333333333333,0.25
ARC,WCA,0.4,12,84.20245398773007,0.0,0.0
ARC,Limbo,0.4,12,86.04294478527608,0.0,0.0
ARC,ACDC,0.4,12,85.86956521739131,0.08333333333333333,0.25
ARC,WCA,0.6,12,84.04907975460122,0.0,0.0
ARC,Limbo,0.6,12,85.42944785276075,0.0,0.0
ARC,ACDC,0.6,12,85.55900621118012,0.08333333333333333,0.25
ARC,WCA,0.8,12,84.04907975460122,0.0,0.0
ARC,Limbo,0.8,12,85.42944785276075,0.0,0.0
ARC,ACDC,0.8,12,85.55900621118012,0.08333333333333333,0.25
WCA,Limbo,N/A,13,81.03975535168195,0.0,0.0
WCA,ACDC,N/A,13,90.07751937984496,0.07692307692307693,0.25
Limbo,ACDC,N/A,13,81.08527131782945,0.0,0.0
ARC,WCA,0.2,13,83.4862385321101,0.0,0.0
ARC,Limbo,0.2,13,83.63914373088686,0.07692307692307693,0.07692307692307693
ARC,ACDC,0.2,13,85.5813953488372,0.07692307692307693,0.25
ARC,WCA,0.4,13,84.40366972477065,0.0,0.0
ARC,Limbo,0.4,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.4,13,85.73643410852713,0.07692307692307693,0.25
ARC,WCA,0.6,13,84.25076452599389,0.0,0.0
ARC,Limbo,0.6,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.6,13,85.42635658914729,0.07692307692307693,0.25
ARC,WCA,0.8,13,84.25076452599389,0.0,0.0
ARC,Limbo,0.8,13,85.01529051987767,0.0,0.0
ARC,ACDC,0.8,13,85.42635658914729,0.07692307692307693,0.25
WCA,Limbo,N/A,14,81.09756097560977,0.0,0.0
WCA,ACDC,N/A,14,89.78328173374614,0.07142857142857142,0.25
Limbo,ACDC,N/A,14,80.95975232198143,0.0,0.0
ARC,WCA,0.2,14,83.38414634146342,0.0,0.0
ARC,Limbo,0.2,14,83.6890243902439,0.07142857142857142,0.07142857142857142
ARC,ACDC,0.2,14,85.44891640866872,0.07142857142857142,0.25
ARC,WCA,0.4,14,84.29878048780488,0.0,0.0
ARC,Limbo,0.4,14,85.21341463414635,0.0,0.0
ARC,ACDC,0.4,14,85.60371517027863,0.07142857142857142,0.25
ARC,WCA,0.6,14,84.14634146341463,0.0,0.0
ARC,Limbo,0.6,14,85.21341463414635,0.0,0.0
ARC,ACDC,0.6,14,85.29411764705883,0.07142857142857142,0.25
ARC,WCA,0.8,14,84.14634146341463,0.0,0.0
ARC,Limbo,0.8,14,85.21341463414635,0.0,0.0
ARC,ACDC,0.8,14,85.29411764705883,0.07142857142857142,0.25
WCA,Limbo,N/A,15,81.15501519756839,0.0,0.0
WCA,ACDC,N/A,15,89.48995363214837,0.06666666666666667,0.25
Limbo,ACDC,N/A,15,80.83462132921176,0.0,0.0
ARC,WCA,0.2,15,83.28267477203649,0.0,0.0
ARC,Limbo,0.2,15,83.73860182370821,0.06666666666666667,0.06666666666666667
ARC,ACDC,0.2,15,85.31684698608964,0.06666666666666667,0.25
ARC,WCA,0.4,15,84.34650455927051,0.0,0.0
ARC,Limbo,0.4,15,85.41033434650456,0.0,0.0
ARC,ACDC,0.4,15,85.47140649149922,0.06666666666666667,0.25
ARC,WCA,0.6,15,84.04255319148936,0.0,0.0
ARC,Limbo,0.6,15,85.41033434650456,0.0,0.0
ARC,ACDC,0.6,15,85.16228748068006,0.06666666666666667,0.25
ARC,WCA,0.8,15,84.04255319148936,0.0,0.0
ARC,Limbo,0.8,15,85.41033434650456,0.0,0.0
ARC,ACDC,0.8,15,85.16228748068006,0.06666666666666667,0.25
WCA,Limbo,N/A,16,81.21212121212122,0.0,0.0
WCA,ACDC,N/A,16,89.19753086419753,0.0625,0.25
Limbo,ACDC,N/A,16,80.70987654320987,0.0,0.0
ARC,WCA,0.2,16,83.48484848484848,0.0,0.0
ARC,Limbo,0.2,16,83.18181818181817,0.0625,0.0625
ARC,ACDC,0.2,16,85.18518518518519,0.0625,0.25
ARC,WCA,0.4,16,84.54545454545455,0.0,0.0
ARC,Limbo,0.4,16,84.54545454545455,0.0,0.0
ARC,ACDC,0.4,16,85.3395061728395,0.0625,0.25
ARC,WCA,0.6,16,84.24242424242424,0.0,0.0
ARC,Limbo,0.6,16,84.3939393939394,0.0,0.0
ARC,ACDC,0.6,16,85.03086419753086,0.0625,0.25
ARC,WCA,0.8,16,84.24242424242424,0.0,0.0
ARC,Limbo,0.8,16,84.3939393939394,0.0,0.0
ARC,ACDC,0.8,16,85.03086419753086,0.0625,0.25
WCA,Limbo,N/A,17,81.2688821752266,0.0,0.0
WCA,ACDC,N/A,17,88.9060092449923,0.058823529411764705,0.25
Limbo,ACDC,N/A,17,80.58551617873651,0.0,0.0
ARC,WCA,0.2,17,83.68580060422961,0.0,0.0
ARC,Limbo,0.2,17,82.62839879154077,0.058823529411764705,0.058823529411764705
ARC,ACDC,0.2,17,85.05392912172573,0.058823529411764705,0.25
ARC,WCA,0.4,17,84.59214501510574,0.0,0.0
ARC,Limbo,0.4,17,83.8368580060423,0.0,0.0
ARC,ACDC,0.4,17,84.43759630200309,0.058823529411764705,0.25
ARC,WCA,0.6,17,84.44108761329305,0.0,0.0
ARC,Limbo,0.6,17,84.44108761329305,0.0,0.0
ARC,ACDC,0.6,17,84.89984591679507,0.058823529411764705,0.25
ARC,WCA,0.8,17,84.44108761329305,0.0,0.0
ARC,Limbo,0.8,17,84.44108761329305,0.0,0.0
ARC,ACDC,0.8,17,84.89984591679507,0.058823529411764705,0.25
WCA,Limbo,N/A,18,81.47590361445783,0.0,0.0
WCA,ACDC,N/A,18,88.92307692307693,0.05555555555555555,0.25
Limbo,ACDC,N/A,18,80.15384615384616,0.0,0.0
ARC,WCA,0.2,18,83.8855421686747,0.0,0.0
ARC,Limbo,0.2,18,82.37951807228916,0.05555555555555555,0.05555555555555555
ARC,ACDC,0.2,18,84.92307692307692,0.05555555555555555,0.25
ARC,WCA,0.4,18,84.78915662650603,0.0,0.0
ARC,Limbo,0.4,18,83.8855421686747,0.0,0.0
ARC,ACDC,0.4,18,84.3076923076923,0.05555555555555555,0.25
ARC,WCA,0.6,18,84.63855421686746,0.0,0.0
ARC,Limbo,0.6,18,84.48795180722891,0.0,0.0
ARC,ACDC,0.6,18,84.61538461538461,0.05555555555555555,0.25
ARC,WCA,0.8,18,84.63855421686746,0.0,0.0
ARC,Limbo,0.8,18,84.48795180722891,0.0,0.0
ARC,ACDC,0.8,18,84.61538461538461,0.05555555555555555,0.25
WCA,Limbo,N/A,19,81.53153153153153,0.0,0.0
WCA,ACDC,N/A,19,88.78648233486943,0.05263157894736842,0.25
Limbo,ACDC,N/A,19,80.03072196620585,0.0,0.0
ARC,WCA,0.2,19,84.08408408408408,0.0,0.0
ARC,Limbo,0.2,19,82.43243243243244,0.05263157894736842,0.05263157894736842
ARC,ACDC,0.2,19,84.48540706605223,0.05263157894736842,0.25
ARC,WCA,0.4,19,85.13513513513513,0.0,0.0
ARC,Limbo,0.4,19,84.23423423423424,0.0,0.0
ARC,ACDC,0.4,19,83.25652841781874,0.05263157894736842,0.25
ARC,WCA,0.6,19,84.83483483483484,0.0,0.0
ARC,Limbo,0.6,19,84.38438438438438,0.0,0.0
ARC,ACDC,0.6,19,84.48540706605223,0.05263157894736842,0.25
ARC,WCA,0.8,19,84.83483483483484,0.0,0.0
ARC,Limbo,0.8,19,84.38438438438438,0.0,0.0
ARC,ACDC,0.8,19,84.48540706605223,0.05263157894736842,0.25
WCA,Limbo,N/A,20,81.58682634730539,0.0,0.0
WCA,ACDC,N/A,20,88.65030674846625,0.05,0.25
Limbo,ACDC,N/A,20,79.9079754601227,0.0,0.0
ARC,WCA,0.2,20,84.13173652694611,0.0,0.0
ARC,Limbo,0.2,20,82.03592814371258,0.05,0.05
ARC,ACDC,0.2,20,82.51533742331289,0.0,0.0
ARC,WCA,0.4,20,85.17964071856288,0.0,0.0
ARC,Limbo,0.4,20,84.13173652694611,0.0,0.0
ARC,ACDC,0.4,20,83.12883435582822,0.05,0.25
ARC,WCA,0.6,20,85.02994011976048,0.0,0.0
ARC,Limbo,0.6,20,83.9820359281437,0.0,0.0
ARC,ACDC,0.6,20,82.82208588957054,0.05,0.25
ARC,WCA,0.8,20,85.02994011976048,0.0,0.0
ARC,Limbo,0.8,20,83.9820359281437,0.0,0.0
ARC,ACDC,0.8,20,82.82208588957054,0.05,0.25
WCA,Limbo,N/A,21,81.64179104477611,0.0,0.0
WCA,ACDC,N/A,21,88.51454823889739,0.047619047619047616,0.25
Limbo,ACDC,N/A,21,79.78560490045942,0.0,0.0
ARC,WCA,0.2,21,84.17910447761194,0.0,0.0
ARC,Limbo,0.2,21,81.94029850746269,0.047619047619047616,0.047619047619047616
ARC,ACDC,0.2,21,82.38897396630934,0.0,0.0
